"train_end","rmse","mae","mape","ClimaticVariable","Model"
59,0.907297454963028,0.907297454963028,53.3149968883803,"Temperature","(S)ARIMA"
60,0.237719440443913,0.237719440443913,489.842187595946,"Temperature","(S)ARIMA"
61,0.451549408079166,0.451549408079166,10.628014064825,"Temperature","(S)ARIMA"
62,1.53891468280777,1.53891468280777,15.2673104678927,"Temperature","(S)ARIMA"
63,0.716687502673514,0.716687502673514,5.47518439252138,"Temperature","(S)ARIMA"
64,3.7946385923218,3.7946385923218,26.0462869589287,"Temperature","(S)ARIMA"
65,1.50075263759926,1.50075263759926,6.56224253123782,"Temperature","(S)ARIMA"
66,1.60320818562392,1.60320818562392,7.03625007619508,"Temperature","(S)ARIMA"
67,0.347411011387027,0.347411011387027,1.45926244565378,"Temperature","(S)ARIMA"
68,0.240076280902493,0.240076280902493,1.32229186353107,"Temperature","(S)ARIMA"
69,0.76948228156574,0.76948228156574,5.58490351218152,"Temperature","(S)ARIMA"
70,2.87210319860009,2.87210319860009,26.9318565434825,"Temperature","(S)ARIMA"
71,1.41394581495314,1.41394581495314,33.8890498032512,"Temperature","(S)ARIMA"
72,0.0810330122963144,0.0810330122963144,43.5729438189444,"Temperature","(S)ARIMA"
73,2.76783187055606,2.76783187055606,43.7228007025068,"Temperature","(S)ARIMA"
74,1.31785684846115,1.31785684846115,16.8232361141677,"Temperature","(S)ARIMA"
75,0.964937790376661,0.964937790376661,7.66917077057904,"Temperature","(S)ARIMA"
76,1.80611860100869,1.80611860100869,11.4182541652143,"Temperature","(S)ARIMA"
77,1.52255989540839,1.52255989540839,7.4804858291285,"Temperature","(S)ARIMA"
78,0.260641215277641,0.260641215277641,1.15998946189462,"Temperature","(S)ARIMA"
79,0.633863972576211,0.633863972576211,2.69688872824503,"Temperature","(S)ARIMA"
80,1.44472693725807,1.44472693725807,7.51664008485025,"Temperature","(S)ARIMA"
81,1.24740579908794,1.24740579908794,9.74556846180747,"Temperature","(S)ARIMA"
82,1.36710873461834,1.36710873461834,21.4698254636946,"Temperature","(S)ARIMA"
83,2.08466613477419,2.08466613477419,45.1741142498877,"Temperature","(S)ARIMA"
36,4.56328157928638,4.56328157928638,93.8946827013658,"Temperature","Holt–Winters"
37,4.25611741764482,4.25611741764482,108.409539118908,"Temperature","Holt–Winters"
38,4.60717812022496,4.60717812022496,45.8411879633238,"Temperature","Holt–Winters"
39,0.528609735626672,0.528609735626672,4.63461230407365,"Temperature","Holt–Winters"
40,1.88345722286283,1.88345722286283,10.6795579383657,"Temperature","Holt–Winters"
41,2.99928371421843,2.99928371421843,12.9643987860872,"Temperature","Holt–Winters"
42,1.62642158879154,1.62642158879154,6.70290179892488,"Temperature","Holt–Winters"
43,2.84563082975254,2.84563082975254,11.5702572211577,"Temperature","Holt–Winters"
44,0.92463593860478,0.92463593860478,5.39399563141162,"Temperature","Holt–Winters"
45,0.744098199166398,0.744098199166398,5.92117693475073,"Temperature","Holt–Winters"
46,0.541117600908726,0.541117600908726,7.67335096051091,"Temperature","Holt–Winters"
47,0.97702837967916,0.97702837967916,28.4030756216911,"Temperature","Holt–Winters"
48,3.70157671525229,3.70157671525229,98.7658174785946,"Temperature","Holt–Winters"
49,5.18312653358524,5.18312653358524,503.709496465385,"Temperature","Holt–Winters"
50,3.496308028775,3.496308028775,72.025235963528,"Temperature","Holt–Winters"
51,3.97257344730625,3.97257344730625,23.7079957505832,"Temperature","Holt–Winters"
52,2.63267794247577,2.63267794247577,13.1866137683379,"Temperature","Holt–Winters"
53,0.538007737486222,0.538007737486222,2.52965899722761,"Temperature","Holt–Winters"
54,1.03338153021861,1.03338153021861,4.63863644780326,"Temperature","Holt–Winters"
55,1.44564842709626,1.44564842709626,6.00834690962201,"Temperature","Holt–Winters"
56,0.806865996777297,0.806865996777297,4.29961817803287,"Temperature","Holt–Winters"
57,2.68678695037095,2.68678695037095,18.3990257808923,"Temperature","Holt–Winters"
58,0.435847659815105,0.435847659815105,5.64419306067614,"Temperature","Holt–Winters"
59,0.767032740252689,0.767032740252689,45.0727023824005,"Temperature","Holt–Winters"
60,1.12316315486682,1.12316315486682,2314.37822577634,"Temperature","Holt–Winters"
61,0.254451526749757,0.254451526749757,5.98896678132395,"Temperature","Holt–Winters"
62,2.22079939681828,2.22079939681828,22.0321725804008,"Temperature","Holt–Winters"
63,0.513904958225485,0.513904958225485,3.92601293592992,"Temperature","Holt–Winters"
